"cz1001","Boone, NC & TN",48832
"cz11304","Washington DC, DC & MD & VA",48769
"cz12800","Washington, IN",48569
"cz20200","Burlington, VT",47937
"cz11301","Fredericksburg, VA",46935
"cz16703","Buckhannon, WV",46555
"cz11302","Baltimore, MD",45689
"cz7900","Gainesville, FL",45169
"cz1204","Andrews, GA & NC",45082
"cz23400","Bloomington, IL",45010
"cz22602","Shawano, WI",44934
"cz22500","Oshkosh, WI",44484
"cz19500","Toms River, NJ",44477
"cz15300","Parkersburg, OH & WV",44104
"cz18900","Williamsport, PA",43894
"cz19600","Newark, NJ & NY",43418
"cz14900","Gary, IN",43337
"cz19300","Poughkeepsie, NY",42892
"cz16702","Morgantown, WV",42888
"cz16300","Pittsburgh, PA",42404
"cz17900","Union, NY & PA",42327
"cz23500","Decatur, IL",42238
"cz12401","Alpena, MI",42017
"cz23302","Douglas, IL",42007
"cz16100","State College, PA",41817
"cz18100","Elmira, NY & PA",41704
"cz20600","Manchester, ME & NH",41700
"cz24300","Chicago, IL",41528
"cz7600","Jacksonville, FL & GA",41512
"cz20302","Claremont, NH & VT",41462
"cz2400","Richmond, VA",41448
"cz12701","Cincinnati, KY & OH",41443
"cz16701","Elkins, WV",41389
"cz10900","Pensacola, FL",41349
"cz17600","Charlottesville, VA",41331
"cz2500","Newport News, VA",41245
"cz4903","Lexington, TN",41087
"cz25500","Centralia, IL",41076
"cz18400","Plattsburgh, NY",41057
"cz12501","Dayton, OH",40932
"cz15500","Steubenville, OH & WV",40820
"cz5700","Tullahoma, TN",40785
"cz17502","Winchester, VA & WV",40782
"cz14300","Columbus, IN",40777
"cz13400","Lima, OH",40720
"cz6000","Huntsville, AL & TN",40618
"cz15600","Wheeling, OH & WV",40613
"cz9900","Tallahassee, FL",40593
"cz10302","Dothan, AL",40424
"cz18600","Albany, NY",40424
"cz10000","Panama City, FL",40365
"cz2000","Virginia Beach, NC & VA",40213
"cz17501","Cumberland, MD & WV",40177
"cz11600","Detroit, MI",40116
"cz13900","Center, IN",39995
"cz15900","Columbus, OH",39969
"cz14400","Terre Haute, IN",39956
"cz9100","Atlanta, GA",39946
"cz11001","Mobile, AL",39714
"cz20902","Pittsfield, MA & VT",39692
"cz1201","Franklin, GA & NC",39654
"cz14200","Indianapolis, IN",39533
"cz5900","Clarksville, KY & TN",39412
"cz10501","Columbus, AL & MS",39348
"cz18300","Watertown, NY",39336
"cz12100","Kalamazoo, MI",39332
"cz8300","Greenville, SC",39329
"cz11201","Bluefield, VA & WV",39249
"cz1701","Raleigh, NC",39230
"cz13102","Madison, IN & KY",39185
"cz14600","Bloomington, IN",39153
"cz24200","Bourbonnais, IL",39145
"cz13200","Owensboro, KY",39095
"cz2700","Gulfport, MS",39089
"cz12302","Petoskey, MI",38965
"cz2300","Lynchburg, VA",38957
"cz10400","Meridian, MS",38924
"cz20100","Portland, ME",38864
"cz20901","Bridgeport, CT",38818
"cz15000","Canton, OH",38784
"cz14500","Lafayette, IL & IN",38766
"cz1400","Fayetteville, NC",38763
"cz15800","Athens, OH & WV",38696
"cz13700","Concord, IN & MI",38691
"cz17800","Oneonta, NY",38674
"cz8202","Charleston, SC",38605
"cz1301","Bennettsville, SC",38584
"cz24100","Milwaukee, WI",38553
"cz16600","Roanoke, VA & WV",38418
"cz20700","Keene, NH & VT",38416
"cz1900","Jacksonville, NC",38307
"cz20500","Boston, MA",38273
"cz19400","New York, NY",38226
"cz12901","Lexington-Fayette, KY",38178
"cz20003","Presque Isle, ME",38153
"cz22400","Sheboygan, WI",38129
"cz11403","Sault Ste. Marie, MI",38108
"cz5600","Nashville, TN",38093
"cz8401","Aiken, GA & SC",38035
"cz20301","Berlin, NH & VT",38028
