"cz19600","Newark, NJ & NY",68846
"cz19400","New York, NY",67931
"cz11304","Washington DC, DC & MD & VA",65297
"cz24300","Chicago, IL",63476
"cz19500","Toms River, NJ",61863
"cz20901","Bridgeport, CT",61756
"cz20500","Boston, MA",61465
"cz19700","Philadelphia, NJ & PA",60382
"cz20402","Nantucket, MA",58965
"cz24100","Milwaukee, WI",58930
"cz11302","Baltimore, MD",58284
"cz22601","Green Bay, WI",57573
"cz19000","Allentown, PA",57436
"cz22500","Oshkosh, WI",56896
"cz16300","Pittsburgh, PA",56844
"cz19300","Poughkeepsie, NY",56379
"cz22400","Sheboygan, WI",56322
"cz2400","Richmond, VA",56242
"cz23400","Bloomington, IL",55830
"cz18600","Albany, NY",55814
"cz1701","Raleigh, NC",55350
"cz19100","Reading, PA",55293
"cz9100","Atlanta, GA",55062
"cz20401","Providence, MA & RI",54928
"cz18000","Buffalo, NY",54830
"cz20403","Oak Bluffs, MA",54585
"cz14900","Gary, IN",54510
"cz20800","Springfield, MA",54445
"cz19800","Wilmington, DE & MD",54420
"cz11301","Fredericksburg, VA",54405
"cz19200","Harrisburg, PA",54395
"cz20600","Manchester, ME & NH",53893
"cz18202","St. Marys, PA",53735
"cz13400","Lima, OH",53688
"cz23500","Decatur, IL",53002
"cz11600","Detroit, MI",52924
"cz2500","Newport News, VA",52864
"cz15200","Cleveland, OH",52556
"cz24200","Bourbonnais, IL",52518
"cz23302","Douglas, IL",52470
"cz20200","Burlington, VT",52414
"cz14700","Evansville, IL & IN",52326
"cz11700","Lansing, MI",52187
"cz24000","Kenosha, WI",52142
"cz10802","Demopolis, AL",52126
"cz25500","Centralia, IL",51929
"cz17700","Syracuse, NY",51825
"cz18800","Scranton, PA",51716
"cz10502","Starkville, MS",51608
"cz12701","Cincinnati, KY & OH",51471
"cz12200","Grand Rapids, MI",51398
"cz14100","Fort Wayne, IN",51331
"cz1600","Wilson, NC",51245
"cz13501","Toledo, MI & OH",51128
"cz17600","Charlottesville, VA",51052
"cz16100","State College, PA",51012
"cz10501","Columbus, AL & MS",50993
"cz10700","Birmingham, AL",50899
"cz11401","Marquette, MI",50794
"cz19902","Easton, MD",50699
"cz18700","Sunbury, PA",50680
"cz8100","Columbia, SC",50588
"cz22602","Shawano, WI",50573
"cz2300","Lynchburg, VA",50573
"cz900","Charlotte, NC & SC",50550
"cz11402","Marinette, MI & WI",50522
"cz2000","Virginia Beach, NC & VA",50481
"cz16200","Altoona, PA",50409
"cz14200","Indianapolis, IN",50163
"cz9800","Auburn, AL",50069
"cz11101","Montgomery, AL",50023
"cz13502","Defiance, OH",50006
"cz21004","Rhinelander, WI",49999
"cz15600","Wheeling, OH & WV",49961
"cz17502","Winchester, VA & WV",49946
"cz12800","Washington, IN",49941
"cz10801","Tuscaloosa, AL",49913
"cz11900","Saginaw, MI",49823
"cz14500","Lafayette, IL & IN",49789
"cz20302","Claremont, NH & VT",49712
"cz17900","Union, NY & PA",49623
"cz10102","Thomasville, GA",49501
"cz8800","Savannah, GA & SC",49284
"cz15900","Columbus, OH",49242
"cz13103","Bardstown, KY",49223
"cz2600","Roanoke Rapids, NC & VA",49114
"cz20902","Pittsfield, MA & VT",49096
"cz13600","South Bend, IN & MI",49030
"cz401","Winston-Salem, NC",49020
"cz14801","Olney, IL",48976
"cz13300","Findlay, OH",48936
"cz20700","Keene, NH & VT",48931
"cz16400","Youngstown, OH & PA",48810
"cz11303","Colonial Beach, VA",48776
"cz16702","Morgantown, WV",48776
"cz18900","Williamsport, PA",48745
"cz16500","Erie, NY & PA",48727
"cz5600","Nashville, TN",48716
"cz12100","Kalamazoo, MI",48660
"cz13101","Louisville, IN & KY",48625
"cz8401","Aiken, GA & SC",48509
"cz9301","Winder, GA",48449
"cz18400","Plattsburgh, NY",48308
"cz19901","Dover, DE & MD",48184
"cz23301","Charleston, IL",48176
"cz13800","Wayne, IN",48163
"cz8402","Washington, GA",48141
"cz15000","Canton, OH",48077
"cz18100","Elmira, NY & PA",48024
"cz8202","Charleston, SC",47963
"cz14802","Vincennes, IL & IN",47932
"cz2200","South Boston, VA",47884
