"cz13502","Defiance, OH",81562
"cz9003","Dublin, GA",75028
"cz9702","Americus, GA",71023
"cz11201","Bluefield, VA & WV",70416
"cz24200","Bourbonnais, IL",70028
"cz19600","Newark, NJ & NY",66545
"cz23400","Bloomington, IL",66161
"cz23302","Douglas, IL",65964
"cz14900","Gary, IN",65509
"cz17300","Staunton, VA",65438
"cz17502","Winchester, VA & WV",65146
"cz12302","Petoskey, MI",64522
"cz14400","Terre Haute, IN",64155
"cz16702","Morgantown, WV",64106
"cz19500","Toms River, NJ",63571
"cz4901","Jackson, TN",63496
"cz19800","Wilmington, DE & MD",62847
"cz12901","Lexington-Fayette, KY",62449
"cz8401","Aiken, GA & SC",62386
"cz25200","Henderson, KY",62090
"cz16300","Pittsburgh, PA",61568
"cz11402","Marinette, MI & WI",61424
"cz11304","Washington DC, DC & MD & VA",60858
"cz6000","Huntsville, AL & TN",60699
"cz10801","Tuscaloosa, AL",60659
"cz19300","Poughkeepsie, NY",60654
"cz8702","Statesboro, GA",60539
"cz14300","Columbus, IN",60162
"cz13200","Owensboro, KY",60156
"cz24300","Chicago, IL",60021
"cz5700","Tullahoma, TN",59720
"cz15200","Cleveland, OH",59622
"cz16100","State College, PA",59521
"cz7900","Gainesville, FL",59468
"cz9002","Milledgeville, GA",59424
"cz25500","Centralia, IL",59399
"cz18800","Scranton, PA",59398
"cz16901","Charleston, WV",59123
"cz19000","Allentown, PA",59055
"cz18600","Albany, NY",59031
"cz14600","Bloomington, IN",58801
"cz16400","Youngstown, OH & PA",58774
"cz11600","Detroit, MI",58502
"cz12701","Cincinnati, KY & OH",58393
"cz14700","Evansville, IL & IN",58249
"cz14000","Muncie, IN",58221
"cz18400","Plattsburgh, NY",58141
"cz11302","Baltimore, MD",57946
"cz19100","Reading, PA",57619
"cz1701","Raleigh, NC",57535
"cz15800","Athens, OH & WV",57512
"cz16000","Mansfield, OH",57296
"cz12501","Dayton, OH",57156
"cz10700","Birmingham, AL",57095
"cz14200","Indianapolis, IN",56812
"cz11401","Marquette, MI",56721
"cz14500","Lafayette, IL & IN",56714
"cz15000","Canton, OH",56637
"cz19700","Philadelphia, NJ & PA",56481
"cz16200","Altoona, PA",56347
"cz19200","Harrisburg, PA",56327
"cz20901","Bridgeport, CT",56141
"cz13501","Toledo, MI & OH",55899
"cz2500","Newport News, VA",55733
"cz12100","Kalamazoo, MI",55707
"cz8100","Columbia, SC",55684
"cz17501","Cumberland, MD & WV",55672
"cz23500","Decatur, IL",55616
"cz18700","Sunbury, PA",55575
"cz20001","Bangor, ME",55543
"cz17600","Charlottesville, VA",55541
"cz18000","Buffalo, NY",55320
"cz17100","Huntington, KY & OH & WV",55296
"cz20500","Boston, MA",55210
"cz17800","Oneonta, NY",55166
"cz13600","South Bend, IN & MI",54879
"cz302","Knoxville, TN",54800
"cz2300","Lynchburg, VA",54740
"cz15300","Parkersburg, OH & WV",54705
"cz17400","Hagerstown, MD & PA & WV",54702
"cz17900","Union, NY & PA",54679
"cz20600","Manchester, ME & NH",54650
"cz17700","Syracuse, NY",54552
"cz19400","New York, NY",54321
"cz6200","Florence, AL & TN",54150
"cz10502","Starkville, MS",53973
"cz15900","Columbus, OH",53736
"cz12800","Washington, IN",53731
"cz8503","Valdosta, GA",53507
"cz15100","Lorain, OH",53319
"cz8502","Cordele, GA",53227
"cz5800","Dickson, TN",52848
"cz11700","Lansing, MI",52573
"cz6401","Chattanooga, GA & TN",52496
"cz11900","Saginaw, MI",52305
"cz9800","Auburn, AL",52275
"cz9302","Toccoa, GA",52186
"cz20302","Claremont, NH & VT",52072
"cz13700","Concord, IN & MI",51911
"cz9001","Vidalia, GA",51864
"cz6100","Gadsden, AL",51815
"cz2400","Richmond, VA",51815
"cz20200","Burlington, VT",51698
"cz7700","Lake City, FL",51642
"cz11500","Jackson, MI",51618
"cz2000","Virginia Beach, NC & VA",51425
"cz8800","Savannah, GA & SC",51275
"cz16500","Erie, NY & PA",51267
"cz1203","Asheville, NC",51231
"cz15600","Wheeling, OH & WV",51225
"cz8000","Sumter, SC",51166
"cz11101","Montgomery, AL",51124
"cz20902","Pittsfield, MA & VT",50985
"cz6600","Rome, AL & GA",50944
"cz13400","Lima, OH",50627
"cz18900","Williamsport, PA",50325
"cz11001","Mobile, AL",50283
"cz25300","Union City, KY & TN",50256
"cz9900","Tallahassee, FL",50208
"cz16600","Roanoke, VA & WV",49971
"cz100","Johnson City, TN & VA",49953
"cz6302","Cookeville, TN",49950
"cz24000","Kenosha, WI",49734
"cz18300","Watertown, NY",49675
"cz12001","Big Rapids, MI",49642
"cz4402","Richmond, KY",49631
"cz13000","Elizabethtown, KY",49423
"cz11800","Mount Pleasant, MI",49352
"cz17000","Pikeville, KY & WV",49241
"cz1500","Wilmington, NC",49148
"cz10501","Columbus, AL & MS",49080
"cz12600","Wayne, IN",49062
"cz9600","LaGrange, AL & GA",48976
"cz14100","Fort Wayne, IN",48926
"cz19901","Dover, DE & MD",48805
"cz24100","Milwaukee, WI",48590
"cz17200","Harrisonburg, VA & WV",48445
